model,precision,batch_size,throughput,mean_latency_ms,total_time_sec,success
gpt2,fp16,48,881.1728090844839,54.43070888519287,2.7236428260803223,1
gpt2,fp16,4,533.2163749381042,7.456827163696289,0.37508225440979004,1
gpt2,fp16,512,904.9414485993304,565.7275009155273,28.289123058319092,1
gpt2,fp16,64,883.1691186945563,72.42342948913574,3.6233150959014893,1
gpt2,fp16,768,0,0,0,0
gpt2,fp16,8,735.9954938020037,10.819435119628906,0.5434815883636475,1
gpt2,fp16,96,887.7947911805865,108.08030128479004,5.4066548347473145,1
gpt2,fp32,1024,0,0,0,0
gpt2,fp32,128,103.28727672982914,1239.2135000228882,61.963101387023926,1
gpt2,fp32,12,105.63857276361985,113.54736328125,5.679743528366089,1
gpt2,fp32,16,104.93484844452524,152.42340564727783,7.6237781047821045,1
gpt2,fp32,192,103.50042666694948,1855.018858909607,92.75324082374573,1
gpt2,fp32,1,133.39185102921178,7.453594207763672,0.3748354911804199,1
gpt2,fp32,24,105.71060086139242,226.9804286956787,11.351747035980225,1
gpt2,fp32,256,103.65235151101383,2469.7469186782837,123.48972129821777,1
gpt2,fp32,2,139.0431251075318,14.335899353027344,0.7192013263702393,1
gpt2,fp32,32,103.93469724004026,307.8413152694702,15.39428162574768,1
gpt2,fp32,384,0,0,0,0
gpt2,fp32,48,104.10250010628636,461.0342264175415,23.054201364517212,1
gpt2,fp32,4,105.18618850461485,37.97534942626953,1.9013903141021729,1
gpt2,fp32,512,0,0,0,0
gpt2,fp32,64,103.42376523865788,618.7686061859131,30.940664291381836,1
gpt2,fp32,768,0,0,0,0
gpt2,fp32,8,105.80646577214044,75.55669784545898,3.780487298965454,1
gpt2,fp32,96,103.23745483188748,929.8495674133301,46.49475336074829,1
resnet50,bf16,1024,1432.5433692048928,714.7911024093628,35.740628242492676,1
resnet50,bf16,128,1457.3089100932023,87.81280994415283,4.391656398773193,1
resnet50,bf16,12,1300.3033511231122,9.209461212158203,0.46143078804016113,1
resnet50,bf16,16,1469.474312996539,10.869035720825195,0.54441237449646,1
resnet50,bf16,192,1446.8991631192794,132.6769208908081,6.634878396987915,1
resnet50,bf16,1,159.18423423662765,6.263036727905273,0.3141014575958252,1
resnet50,bf16,24,1536.4946905207823,15.600733757019043,0.7809984683990479,1
resnet50,bf16,256,1436.3675104050653,178.20719242095947,8.911368370056152,1
resnet50,bf16,2,303.21570419164965,6.576681137084961,0.32979822158813477,1
resnet50,bf16,32,1530.6373042080809,20.88651180267334,1.045316219329834,1
resnet50,bf16,384,1433.3228280778906,267.88713932037354,13.395447015762329,1
resnet50,bf16,48,1515.8283528924403,31.64585590362549,1.5832927227020264,1
resnet50,bf16,4,568.743092930008,7.014250755310059,0.3516526222229004,1
resnet50,bf16,512,1431.7723306913495,357.5776433944702,17.879937648773193,1
resnet50,bf16,64,1484.433676532865,43.09363842010498,2.1557042598724365,1
resnet50,bf16,768,1430.262244936289,536.9421577453613,26.848223209381104,1
resnet50,bf16,8,1012.4822725851791,7.881860733032227,0.3950686454772949,1
resnet50,bf16,96,1480.4490499390324,64.82452392578125,3.2422595024108887,1
resnet50,fp16,1024,2307.324473856176,443.78270626068115,22.19020366668701,1
resnet50,fp16,128,2630.4263481383714,48.64175319671631,2.43306565284729,1
resnet50,fp16,12,2210.547563646138,5.409045219421387,0.2714259624481201,1
resnet50,fp16,16,2812.12633202174,5.67042350769043,0.2844822406768799,1
resnet50,fp16,192,2538.066498392266,75.62798500061035,3.782406806945801,1
resnet50,fp16,1,179.50442565742904,5.551156997680664,0.27854466438293457,1
resnet50,fp16,24,3054.173425010149,7.838921546936035,0.39290499687194824,1
resnet50,fp16,256,2459.998851724505,104.04489517211914,5.203254461288452,1
resnet50,fp16,2,358.79602461603736,5.554904937744141,0.27870988845825195,1
resnet50,fp16,32,3066.132167108174,10.41682243347168,0.5218300819396973,1
resnet50,fp16,384,2417.7392506400593,158.8042974472046,7.941303014755249,1
resnet50,fp16,48,2943.131991025291,16.2899112701416,0.815457820892334,1
resnet50,fp16,4,730.4394770961824,5.457525253295898,0.2738077640533447,1
resnet50,fp16,512,2376.253983395507,215.44491291046143,10.773259162902832,1
resnet50,fp16,64,2819.2476669710995,22.68125057220459,1.135054588317871,1
resnet50,fp16,768,2349.7543223334987,326.82212829589844,16.34213399887085,1
resnet50,fp16,8,1457.2410318770087,5.470924377441406,0.2744913101196289,1
resnet50,fp16,96,2714.7917188348893,35.341973304748535,1.7680914402008057,1
