model,precision,batch_size,throughput,mean_latency_ms,total_time_sec,success
bert-large,fp32,192,792.0184370756507,242.31909275054932,12.120929956436157,1
bert-large,fp32,1,72.5148520192211,13.753299713134766,0.6895139217376709,1
bert-large,fp32,24,788.5076231135303,30.371737480163574,1.521862268447876,1
bert-large,fp32,256,794.3166633495603,322.1839761734009,16.114480018615723,1
bert-large,fp32,2,140.70218518742158,14.162459373474121,0.7107210159301758,1
bert-large,fp32,32,873.9655945267548,36.5545129776001,1.830735683441162,1
bert-large,fp32,384,800.0644417851566,479.84947204589844,23.998066902160645,1
bert-large,fp32,48,832.7183226859011,57.568535804748535,2.882127046585083,1
bert-large,fp32,4,353.6214484444819,11.279006004333496,0.5655765533447266,1
bert-large,fp32,512,790.0789957715239,647.9115438461304,32.40182328224182,1
bert-large,fp32,64,815.8634451733159,78.36480140686035,3.922224998474121,1
bert-large,fp32,768,800.5446921466008,959.2399168014526,47.96734070777893,1
bert-large,fp32,8,573.702816397629,13.901433944702148,0.6972250938415527,1
bert-large,fp32,96,818.2780055236427,117.26095676422119,5.865977048873901,1
gpt2,bf16,1024,1160.6398210982913,882.1240282058716,44.11359930038452,1
gpt2,bf16,128,1209.6363377950881,105.68052768707275,5.290846347808838,1
gpt2,bf16,12,827.0964557127603,14.395341873168945,0.7254292964935303,1
gpt2,bf16,16,1356.736144216357,11.696629524230957,0.5896503925323486,1
gpt2,bf16,192,1161.2836597995588,165.18515586853027,8.266714096069336,1
gpt2,bf16,1,91.56101748046883,10.8308744430542,0.546083927154541,1
gpt2,bf16,24,1748.0800749361033,13.610734939575195,0.6864674091339111,1
gpt2,bf16,256,1152.7475936029584,221.93299293518066,11.103905200958252,1
gpt2,bf16,2,210.4619188882154,9.418039321899414,0.4751453399658203,1
gpt2,bf16,32,1581.3054532516157,20.108928680419922,1.01182222366333,1
gpt2,bf16,384,1153.5650823867861,332.72346019744873,16.644054412841797,1
gpt2,bf16,48,1267.8913563776525,37.709174156188965,1.892906665802002,1
gpt2,bf16,4,408.6675276578393,9.707036018371582,0.4893953800201416,1
gpt2,bf16,512,1157.9292433253565,442.0280647277832,22.108432054519653,1
gpt2,bf16,64,1187.6048130751647,53.73354911804199,2.6944990158081055,1
gpt2,bf16,768,1145.4406021274617,670.2962112426758,33.52421760559082,1
gpt2,bf16,8,686.6222320808106,11.556053161621094,0.5825619697570801,1
gpt2,bf16,96,1199.4220657360904,79.89294528961182,4.001927375793457,1
gpt2,fp16,1024,1147.409041427686,892.2895288467407,44.622273445129395,1
gpt2,fp16,128,1196.6195238261662,106.80108070373535,5.348400115966797,1
gpt2,fp16,12,1061.1081291334533,11.216020584106445,0.5654466152191162,1
gpt2,fp16,16,1315.2540300057817,12.07754135131836,0.6082475185394287,1
gpt2,fp16,192,1124.2351833940734,170.5746603012085,8.539138555526733,1
gpt2,fp16,1,117.11784764502406,8.467621803283691,0.42692041397094727,1
gpt2,fp16,24,1747.0049027689797,13.63318920135498,0.6868898868560791,1
gpt2,fp16,256,1142.6075585254698,223.91663074493408,11.202446460723877,1
gpt2,fp16,2,166.59916857390485,11.906099319458008,0.600243091583252,1
gpt2,fp16,32,1558.931415845432,20.39616107940674,1.0263440608978271,1
gpt2,fp16,384,1142.3073612027742,336.0173177719116,16.808085680007935,1
gpt2,fp16,48,1247.2805193949116,38.34507465362549,1.9241862297058105,1
gpt2,fp16,4,367.6691953414412,10.786290168762207,0.5439672470092773,1
gpt2,fp16,512,1145.768498259806,446.67816162109375,22.343082427978516,1
gpt2,fp16,64,1188.8575710879684,53.715314865112305,2.691659688949585,1
gpt2,fp16,768,1139.2944412250597,673.9477920532227,33.70507097244263,1
gpt2,fp16,8,667.2073613376267,11.900806427001953,0.5995137691497803,1
gpt2,fp16,96,1185.8428709510406,80.82844257354736,4.047753810882568,1
gpt2,fp32,1024,0,0,0,0
gpt2,fp32,128,1012.1051850116916,126.33089065551759,6.323453426361084,1
gpt2,fp32,12,1318.0081733209104,9.020490646362305,0.4552323818206787,1
gpt2,fp32,16,1484.9472349110786,10.672192573547363,0.5387396812438965,1
gpt2,fp32,192,1004.5187744483878,190.9835386276245,9.556814908981323,1
gpt2,fp32,1,106.68435623175637,9.28278923034668,0.4686722755432129,1
gpt2,fp32,24,1367.0161456350074,17.444005012512207,0.8778243064880371,1
gpt2,fp32,256,1009.6436289577344,253.44272613525393,12.677740573883057,1
gpt2,fp32,2,229.75160798035915,8.61767292022705,0.43525266647338867,1
gpt2,fp32,32,1290.0993245270854,24.70419406890869,1.2402145862579346,1
gpt2,fp32,384,1005.1973246160169,381.8833303451538,19.100727319717407,1
gpt2,fp32,48,1088.0253041366739,44.00937557220459,2.2058310508728027,1
gpt2,fp32,4,447.66221776323863,8.854870796203613,0.4467654228210449,1
gpt2,fp32,512,1006.942128993931,508.3150625228882,25.42350673675537,1
gpt2,fp32,64,1060.3930868342488,60.237765312194824,3.0177488327026367,1
gpt2,fp32,768,0,0,0,0
gpt2,fp32,8,799.5962274528158,9.914145469665527,0.5002524852752686,1
gpt2,fp32,96,1028.0617768709199,93.26618194580078,4.668980121612549,1
resnet50,bf16,1024,3370.917449221235,303.7007999420166,15.188743352890015,1
resnet50,bf16,128,4019.4630113750454,31.783919334411625,1.592252492904663,1
resnet50,bf16,12,1171.2901129875136,10.204057693481445,0.5122556686401367,1
resnet50,bf16,16,1574.1237909464419,10.124306678771973,0.5082192420959473,1
resnet50,bf16,192,3658.0239686116497,52.39692687988281,2.6243677139282227,1
