model,precision,batch_size,throughput,mean_latency_ms,total_time_sec,success
resnet50,fp16,192,4501.293632382764,42.60956287384033,2.1327202320098877,1
resnet50,fp16,1,99.98665034194195,9.963250160217285,0.5000667572021484,1
resnet50,fp16,24,2292.306564216868,10.430164337158203,0.5234901905059814,1
resnet50,fp16,256,4366.850191679239,58.57860088348389,2.9311745166778564,1
resnet50,fp16,2,193.25419424278783,10.30942440032959,0.5174531936645508,1
resnet50,fp16,32,3163.8603804522827,10.075411796569824,0.5057113170623779,1
resnet50,fp16,384,4312.59857902259,88.99266242980957,4.4520721435546875,1
resnet50,fp16,48,4665.0525044524165,10.249342918395996,0.5144636631011963,1
resnet50,fp16,4,399.3888669614414,9.976773262023926,0.5007650852203369,1
resnet50,fp16,512,4278.8048807478535,119.61224555969238,5.98297905921936,1
resnet50,fp16,64,4882.464482216099,13.065829277038574,0.6554067134857178,1
resnet50,fp16,768,4273.404267851656,179.66734886169434,8.985810279846191,1
resnet50,fp16,8,756.1940450880021,10.540027618408203,0.5289647579193115,1
resnet50,fp16,96,4787.77914915779,20.008931159973145,1.0025525093078613,1
resnet50,fp32,1024,2335.849443583917,438.32371711730957,21.91922092437744,1
resnet50,fp32,128,2359.21653771642,54.21309947967529,2.7127649784088135,1
resnet50,fp32,12,1360.078818756313,8.78572940826416,0.4411509037017822,1
resnet50,fp32,16,1852.9279850150783,8.596858978271484,0.4317491054534912,1
resnet50,fp32,192,2339.747636983979,82.01447486877441,4.103006601333618,1
resnet50,fp32,1,112.14896495665705,8.878521919250488,0.44583559036254883,1
resnet50,fp32,24,2684.897267234284,8.899598121643066,0.4469444751739502,1
resnet50,fp32,256,2323.153147878635,110.14668941497803,5.509752988815308,1
resnet50,fp32,2,236.35820606191754,8.424267768859863,0.42308664321899414,1
resnet50,fp32,32,2704.236103835398,11.792058944702148,0.5916643142700195,1
resnet50,fp32,384,2332.5868554425992,164.57295417785645,8.231204748153687,1
resnet50,fp32,48,2586.685455882602,18.515591621398926,0.927828311920166,1
resnet50,fp32,4,470.73379318394547,8.45909595489502,0.4248685836791992,1
resnet50,fp32,512,2332.8930782041034,219.41911220550537,10.973499059677124,1
resnet50,fp32,64,2479.759062811834,25.766725540161133,1.2904479503631592,1
resnet50,fp32,768,2330.7131940448244,329.4577884674072,16.475643634796143,1
resnet50,fp32,8,915.9388894226989,8.695526123046875,0.4367103576660156,1
resnet50,fp32,96,2397.170926074012,40.00483512878418,2.0023603439331055,1
